# GENERATED FILE - do not edit. Built by scripts/generate-release-batches.ts from api.scryfall.com.
#
# yyyymmdd <TAB> set code <TAB> batch: inside one release date, `order=released` orders the sets
# by (batch, code). A (date, set) not listed is batch 0. See assign_set_ranks in lib.rs.
# 360 dates measured, 136 of them not in code order.
20250613	tfic	1
20250613	tfin	2
20250801	aeoe	2
20250801	peoe	1
20250819	aa2	1
20250923	aa4	1
20250926	aspm	1
20250926	pspm	1
20250926	tspm	1
20251024	prm	1
20251121	ptla	1
20251122	prm	1
20260123	pbig	1
20260123	pecl	1
20260123	pmh3	1
20260424	psos	1
20260605	prm	1
